latitude,longitude,name,status
10.53,76.2085,Signal 1,red
10.5145,76.208,Signal 2,green
10.497222,76.206,Signal 3,red
10.484444,76.217222,Signal 4,red
10.473611,76.236944,Signal 5,red
10.4620578,76.2435428,Signal 6,red
10.448186,76.2432473,Signal 7,red
10.4345823,76.2453071,Signal 8,red
10.4276391,76.2508446,Signal 9,red
10.4197418,76.2621085,Signal 10,red
10.413924,76.2668278,Signal 11,red
10.4029401,76.2752001,Signal 12,red
10.3899817,76.2754669,Signal 13,red
10.3862815,76.2761918,Signal 14,red
10.373782,76.272095,Signal 15,red
10.3602553,76.2695088,Signal 16,red
10.3482021,76.2745554,Signal 17,red
10.3378,76.283466,Signal 18,red
10.3310702,76.2916849,Signal 19,red
10.3226088,76.3020892,Signal 20,red
10.3118718,76.3106168,Signal 21,red
10.3026219,76.3210146,Signal 22,red
10.2969764,76.3285972,Signal 23,red